"state","high_school_completion","bachelor_or_higher","year","avg_unemp_rate"
"Georgia",87.893967,32.459857,2019,3.6
"Hawaii",92.250971,33.04746,2019,2.50833333333333
"Idaho",91.896476,29.134895,2019,2.88333333333333
"Illinois",89.94905,36.045573,2019,3.975
"Indiana",89.62697,27.147395,2019,3.31666666666667
"Iowa",92.859679,29.618612,2019,2.65833333333333
"Kansas",91.617291,33.150649,2019,3.15
"Kentucky",87.231875,25.31076,2019,4.08333333333333
"Louisiana",85.986306,24.965204,2019,4.63333333333333
"Maine",93.063838,32.878494,2019,2.9
"Maryland",90.462432,40.880524,2019,3.38333333333333
"Massachusetts",91.37307,44.981285,2019,3.05
"Michigan",91.351709,30.151502,2019,4.075
"Minnesota",93.517984,37.262171,2019,3.275
"Mississippi",85.120233,22.011605,2019,5.49166666666667
"Missouri",90.644138,30.216463,2019,3.23333333333333
"Montana",94.237519,33.018848,2019,3.5
"Nebraska",92.198963,33.757786,2019,3.11666666666667
"Nevada",86.89195,25.712972,2019,4.10833333333333
"New Hampshire",93.455328,38.107907,2019,2.55
"New Jersey",90.358426,41.174821,2019,3.45833333333333
"New Mexico",86.082257,28.243857,2019,4.96666666666667
"New York",87.624312,37.890987,2019,3.89166666666667
"North Carolina",88.60907,32.202466,2019,3.875
"North Dakota",93.398769,29.404996,2019,2.15
"Ohio",90.873955,29.401319,2019,4.125
"Oklahoma",88.286618,26.098131,2019,3.11666666666667
"Oregon",91.269271,34.20031,2019,3.725
"Pennsylvania",91.095645,32.457957,2019,4.26666666666667
"Rhode Island",89.461925,34.961853,2019,3.525
"South Carolina",88.265114,29.440263,2019,2.76666666666667
"South Dakota",92.286003,29.890844,2019,2.74166666666667
"Tennessee",87.955912,28.761855,2019,3.33333333333333
"Texas",84.662911,30.773581,2019,3.525
"Utah",93.057883,35.230959,2019,2.54166666666667
"Vermont",93.247006,39.315704,2019,2.1
"Virginia",90.261811,39.756179,2019,2.725
"Washington",91.659759,36.918685,2019,4.18333333333333
"West Virginia",87.041346,21.536189,2019,4.925
"Wisconsin",92.727401,31.179386,2019,3.20833333333333
"Wyoming",94.513551,29.085472,2019,3.73333333333333
"Alabama",86.912988,26.291437,2020,6.40833333333333
"Alaska",94.049238,31.099037,2020,8.28333333333333
"Arizona",87.672076,30.104665,2020,7.825
"Arkansas",87.252891,23.243769,2020,6.15833333333333
"California",84.095158,35.023941,2020,10.1666666666667
"Colorado",92.481621,42.810493,2020,6.79166666666667
"Connecticut",90.852907,40.134881,2020,8.00833333333333
